index,curah_hujan_mm,curah_hujan_mm_corrected,kecamatan,rainfall_scaled
2014-01-01,11.141486728818792,9.414978775629136,babakanmadang,0.057482712344172245
2014-01-02,5.769567197247555,4.87550306604465,babakanmadang,0.02976715582238228
2014-01-03,14.352479211907635,12.128389186000035,babakanmadang,0.07404931263166042
2014-01-04,16.741188906368457,14.14693945867738,babakanmadang,0.08637347686418242
2014-01-05,8.29822762890866,7.012317018645977,babakanmadang,0.04281337341857521
2014-01-06,18.396716682534468,15.545923207834527,babakanmadang,0.09491490667973695
2014-01-07,22.12074260209736,18.692866326465747,babakanmadang,0.11412842063050663
2014-01-08,5.217216786585356,4.408746023679445,babakanmadang,0.026917392541943787
2014-01-09,10.895003175735472,9.206690826515619,babakanmadang,0.05621102001761681
2014-01-10,31.50484558908563,26.622789199530953,babakanmadang,0.16254419365421363
2014-01-11,28.75260892792752,24.297044854901714,babakanmadang,0.14834447039042176
2014-01-12,39.37649216902884,33.27462905567161,babakanmadang,0.20315669062550742
2014-01-13,6.744793570669074,5.699606332572601,babakanmadang,0.03479867975256272
2014-01-14,35.80014428339507,30.252479475722513,babakanmadang,0.1847050977854942
2014-01-15,10.30141393699144,8.705085410627875,babakanmadang,0.05314849162335314
2014-01-16,19.351223383451764,16.35251756539787,babakanmadang,0.09983953078555688
2014-01-17,45.985819666009206,38.8597614190478,babakanmadang,0.23725645491590827
2014-01-18,35.40310298769098,29.91696452488268,babakanmadang,0.18265662695343898
2014-01-19,23.59010775967648,19.93453560355361,babakanmadang,0.12170937429831438
2014-01-20,33.81494095450953,28.57490738308428,babakanmadang,0.17446275987525386
2014-01-21,66.85092522470575,56.4915668295647,babakanmadang,0.34490661777604026
2014-01-22,13.650544038571809,11.53522734685965,babakanmadang,0.07042779077957653
2014-01-23,55.48207842676264,46.88446017393781,babakanmadang,0.28625087765109447
2014-01-24,32.17696535712794,27.190755890585837,babakanmadang,0.1660118877086591
2014-01-25,0.0,0.0,babakanmadang,0.0
2014-01-26,23.48828712764539,19.848493308406926,babakanmadang,0.12118404709161353
2014-01-27,16.704772831264297,14.11616649430176,babakanmadang,0.0861855939701965
2014-01-28,33.01100904816075,27.895554436789716,babakanmadang,0.17031500225172094
2014-01-29,4.887285657932884,4.129941708843474,babakanmadang,0.025215165844257023
2014-01-30,0.0,0.0,babakanmadang,0.0
2014-01-31,11.877123506445637,10.036619748374182,babakanmadang,0.061278112213808925
2014-02-01,0.0,0.0,babakanmadang,0.0
2014-02-02,20.20343490901746,17.072668620713827,babakanmadang,0.10423637935458756
2014-02-03,44.1614595413208,37.318107933196856,babakanmadang,0.22784396169914706
2014-02-04,47.89126687802766,40.469936568548455,babakanmadang,0.24708730394363704
2014-02-05,22.0807297706604,18.659053966598428,babakanmadang,0.11392198084957353
2014-02-06,23.70344808729072,20.030312478299663,babakanmadang,0.12229413552523317
2014-02-07,30.01145943089536,25.36082126604041,babakanmadang,0.1548393074896074
2014-02-08,13.477060429673443,11.388627118770447,babakanmadang,0.06953272994708108
2014-02-09,23.70344808729072,20.030312478299663,babakanmadang,0.12229413552523317
2014-02-10,0.0,0.0,babakanmadang,0.0
2014-02-11,8.860222279398064,7.487223809378727,babakanmadang,0.04571289460630731
2014-02-12,3.0146411456559834,2.547486084516343,babakanmadang,0.015553557080350328
2014-02-13,9.587509113863897,8.101808763519427,babakanmadang,0.04946521428453892
2014-02-14,16.055099055641573,13.567167518002726,babakanmadang,0.08283370641060574
2014-02-15,0.7325384140014649,0.6190227379903737,babakanmadang,0.0037794143598613465
2014-02-16,27.48403169983312,23.22504899218964,babakanmadang,0.14179944981428103
2014-02-17,20.613022510628948,17.41878567580651,babakanmadang,0.10634958083803703
2014-02-18,28.345174046566605,23.952746930052804,babakanmadang,0.14624237552155012
2014-02-19,23.09822930285805,19.518879655307845,babakanmadang,0.11917160635676544
2014-02-20,6.871007924958279,5.8062622480474095,babakanmadang,0.03544986245357025
2014-02-21,137.16475273935418,115.90941740881568,babakanmadang,0.7076795240514301
2014-02-22,14.431271603232934,12.194971744509928,babakanmadang,0.0744558293269365
2014-02-23,0.0,0.0,babakanmadang,0.0
2014-02-24,3.176440269068668,2.6842124792896307,babakanmadang,0.016388333685577825
2014-02-25,0.0,0.0,babakanmadang,0.0
2014-02-26,30.476321652061056,25.7536474706928,babakanmadang,0.15723768949995637
2014-02-27,0.0,0.0,babakanmadang,0.0
2014-02-28,14.474477485606544,12.231482353500528,babakanmadang,0.07467874314162824
2014-03-01,45.327158355712896,38.30316763513856,babakanmadang,0.23385819761384957
2014-03-02,45.327158355712896,38.30316763513856,babakanmadang,0.23385819761384957
2014-03-03,6.380109557352569,5.391434512351784,babakanmadang,0.03291715112499028
2014-03-04,6.47276483334993,5.4697317340958795,babakanmadang,0.03339519114845947
2014-03-05,15.109053636852062,12.767723264692671,babakanmadang,0.07795273693171781
2014-03-06,16.724458704496683,14.13280180367957,babakanmadang,0.08628716007315959
2014-03-07,22.299279990949127,18.843737190257,babakanmadang,0.11504955562943814
2014-03-08,16.724458704496683,14.13280180367957,babakanmadang,0.08628716007315959
2014-03-09,13.67058096182974,11.552159306821006,babakanmadang,0.07053116806879582
2014-03-10,18.47837051592375,15.614923793395548,babakanmadang,0.09533618652602302
2014-03-11,9.966924948441354,8.422429531342493,babakanmadang,0.05142274937915302
2014-03-12,15.078426200465152,12.741841919540699,babakanmadang,0.07779471959000035
2014-03-13,41.14401803016663,34.76825543364353,babakanmadang,0.21227595658252393
2014-03-14,12.006020042770787,10.145542209378815,babakanmadang,0.06194313320248665
2014-03-15,0.0,0.0,babakanmadang,0.0
2014-03-16,0.0,0.0,babakanmadang,0.0
2014-03-17,9.837190548997176,8.312799044230166,babakanmadang,0.05075340557020659
2014-03-18,5.852768508384102,4.9458113289831065,babakanmadang,0.030196419631704004
2014-03-19,12.920967172321522,10.918707229022134,babakanmadang,0.06666365604994928
2014-03-20,8.613978365847938,7.279138364757991,babakanmadang,0.04444243866145642
2014-03-21,7.473025372153834,6.314989819677834,babakanmadang,0.03855587483644223
2014-03-22,11.296334063379389,9.545830645207705,babakanmadang,0.05828162231071961
2014-03-23,0.5072034384074964,0.4286061388181513,babakanmadang,0.002616834724089307
2014-03-24,13.664914010700423,11.547370518223605,babakanmadang,0.07050193034410399
2014-03-25,22.926278380343785,19.37357460533331,babakanmadang,0.11828445317364171
2014-03-26,11.71789571736988,9.902066228621658,babakanmadang,0.06045660199534182
2014-03-27,33.97611864993447,28.711108647643115,babakanmadang,0.17529433032253028
2014-03-28,20.50631645604184,17.328615013342755,babakanmadang,0.10579904807786719
2014-03-29,10.25315822802092,8.664307506671378,babakanmadang,0.052899524038933596
2014-03-30,1.7546922006105123,1.4827814481686705,babakanmadang,0.00905305274558723
2014-03-31,13.595482949206705,11.488698638406893,babakanmadang,0.07014371192741184
2014-04-01,8.761345658804242,7.403669315534667,babakanmadang,0.04520275655404387
2014-04-02,19.166815838060884,16.196686196732312,babakanmadang,0.09888810965624027
2014-04-03,20.303303721076563,17.157061553970358,babakanmadang,0.10475163645944938
2014-04-04,28.750224050722625,24.29502954322805,babakanmadang,0.14833216599930396
2014-04-05,11.183834643112986,9.450764369058124,babakanmadang,0.05770119961027939
2014-04-06,17.08807525760249,14.440071579543813,babakanmadang,0.08816318131112381
2014-04-07,9.570342358162527,8.087302203981304,babakanmadang,0.04937664516410797
2014-04-08,24.847637645821823,20.997196043398958,babakanmadang,0.12819739788698997
2014-04-09,21.932318935896223,18.533641183422564,babakanmadang,0.11315627897053784
2014-04-10,7.759561122718611,6.557123394459047,babakanmadang,0.04003421004671832
2014-04-11,13.851992676132603,11.705459084614038,babakanmadang,0.07146713268850508
2014-04-12,9.51002330842771,8.036330319632112,babakanmadang,0.049065438709424355
2014-04-13,13.851992676132603,11.705459084614038,babakanmadang,0.07146713268850508
2014-04-14,15.716034920592056,13.28064546643388,babakanmadang,0.08108435943244502
